procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 6194196   5244 6218976    0    0     0     0 15675 2190 43 41 16  0  0
 1  0      0 6144508   5244 6218976    0    0     0     0 11851 3342 31 31 39  0  0
 0  0      0 6145360   5244 6218976    0    0     0     0 11698 4666 25 27 48  0  0
13  0      0 6144732   5244 6218976    0    0     0     0 14483 3748 30 33 37  0  0
 1  0      0 6150428   5244 6218976    0    0     0     0 11866 3744 26 25 49  0  0
 0  0      0 6150120   5244 6218976    0    0     0     0 1381 2092  1  1 98  0  0
 0  0      0 6149996   5244 6218976    0    0     0     0 1280 1959  1  1 98  0  0
 0  0      0 6149588   5244 6218976    0    0     0     0 1293 1950  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 6147992   5244 6218976    0    0     0     0 1686 2403  2  2 96  0  0
 0  0      0 6148420   5244 6218976    0    0     0     4 1667 2424  1  2 97  0  0
 0  0      0 6146924   5244 6218976    0    0     0     0 24645 5042 17 25 46 12  0
 0  0      0 6146848   5244 6218976    0    0     0     0 6803 2504 12 14 74  0  0
10  0      0 6149480   5244 6218976    0    0     0     0 16681 2980 34 40 26  0  0
 6  0      0 6193268   5244 6218976    0    0     0    54 19735 2578 43 45 12  0  0
 8  0      0 6193556   5244 6218976    0    0     0     0 16313 2340 42 44 14  0  0
 6  0      0 6197588   5244 6218976    0    0     0     0 15871 3326 42 42 17  0  0
 6  0      0 6231412   5244 6218980    0    0     0     0 14548 2811 42 43 15  0  0
 6  0      0 6234376   5244 6218884    0    0     0     0 10953 3822 24 27 49  0  0
 5  0      0 6234440   5244 6218836    0    0     0     0 20402 3928 42 43 14  0  0
 6  0      0 6269188   5244 6218820    0    0     0     0 15590 4761 39 38 23  0  0
 0  0      0 6269812   5244 6218820    0    0     0     0 11273 4791 25 25 51  0  0
 1  0      0 6269068   5244 6218820    0    0     0     0 3842 2212  7  9 84  0  0
 0  0      0 6270404   5244 6218820    0    0     0     0 15032 3745 21 27 52  0  0
 0  0      0 6270744   5244 6218820    0    0     0     0 7401 3204 14 17 69  0  0
 0  0      0 6270748   5244 6218820    0    0     0     0 1630 2298  1  1 98  0  0
 0  0      0 6270748   5244 6218820    0    0     0     0 1780 2215  2  1 97  0  0
 0  0      0 6271204   5244 6218820    0    0     0     0 1660 2432  1  1 98  0  0
 1  0      0 6270712   5244 6218820    0    0     0     0 2022 2961  3  2 95  0  0
 0  0      0 6270520   5244 6218820    0    0     0     0 1569 2247  2  2 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6270464   5244 6218820    0    0     0     0 1440 2100  1  1 98  0  0
 0  0      0 6270380   5244 6218820    0    0     0     0 1732 2580  1  1 98  0  0
 0  0      0 6271724   5244 6218820    0    0     0     0 1574 2167  2  1 97  0  0
 0  0      0 6272516   5244 6218820    0    0     0     0 1993 2816  2  2 96  0  0
 0  0      0 6273044   5244 6218820    0    0     0     0 1496 2148  1  1 98  0  0
