procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6273156   5244 6218988    0    0     0     0 14502 2072  7 31 62  0  0
 0  0      0 6272648   5244 6218988    0    0     0     8 1303 1929  1  1 98  0  0
 3  0      0 6272104   5244 6218988    0    0     0     0 1637 2086  2  2 96  0  0
 0  0      0 6270612   5244 6218988    0    0     0     0 13169 2071  6 30 64  0  0
 1  0      0 6269968   5244 6218988    0    0     0     0 1537 2324  1  1 97  0  0
 0  0      0 6269604   5244 6218988    0    0     0     0 1331 2024  1  2 97  0  0
 0  0      0 6269484   5244 6218988    0    0     0     0 11324 2191  6 29 65  0  0
 0  0      0 6268340   5244 6218988    0    0     0     0 10795 2146  5 26 69  0  0
 2  0      0 6267440   5244 6218988    0    0     0     0 12628 2191  7 31 62  0  0
 1  0      0 6268052   5244 6218988    0    0     0     0 11860 2396  8 31 61  0  0
 2  0      0 6267272   5244 6218988    0    0     0     0 11709 1868  8 28 64  0  0
 1  0      0 6268480   5244 6218988    0    0     0    76 12240 3270 10 33 57  0  0
 1  0      0 6268544   5244 6218988    0    0     0    61 9898 2237  6 23 71  0  0
 2  0      0 6269652   5244 6218988    0    0     0     0 13854 2608  7 31 62  0  0
 1  0      0 6268504   5244 6218988    0    0     0     0 12245 3215  7 33 60  0  0
 1  0      0 6268960   5244 6218988    0    0     0     0 12434 2545  8 30 62  0  0
 0  0      0 6268724   5244 6218988    0    0     0     0 11476 2547  8 28 64  0  0
 3  0      0 6268172   5244 6218988    0    0     0     0 8781 2410  5 23 72  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 6268944   5244 6218988    0    0     0     0 12422 2319  7 33 59  0  0
 1  0      0 6268440   5244 6218988    0    0     0     0 15871 2958  7 29 64  0  0
 1  0      0 6268824   5244 6218988    0    0     0     0 12635 2394  8 29 63  0  0
 5  0      0 6268636   5244 6218988    0    0     0     0 11285 2604  7 28 65  0  0
 1  0      0 6268176   5244 6218988    0    0     0     0 10333 2394  6 24 70  0  0
 3  0      0 6268792   5244 6218988    0    0     0     0 12378 2505  7 33 60  0  0
 1  0      0 6267724   5244 6218988    0    0     0     0 11442 2824  8 32 60  0  0
